"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"209","3055","蔚華科","115","-2.5","-2.13","2,186","08/19","0","+2.44","+2.64","+8.91","+15.1","-4.37","-26.8","+11.2","+1.76","+0.7"
"210","4306","炎洲","15.3","-0.15","-0.97","834","08/19","-0.84","-1.13","+1.99","+8.87","+11.7","+13.6","+22.2","+41.3","+12.8","+30.7"
"211","1586","和勤","18.2","-0.75","-3.96","1,119","08/19","+2.42","+4.55","+5.87","+8.79","+9.95","+23.4","+14.1","+33.9","+34","+16.6"
"212","4116","明基醫","39.2","-0.1","-0.25","11","08/19","+0.56","+1.98","+2.56","+8.76","+7.14","+22","+31.4","+45.7","+66.7","+65.1"
"213","5515","建國","53.8","-0.4","-0.74","1,056","08/19","-0.24","+1.88","+8.05","+8.76","+28.9","+41","+43.8","+66.7","+81.7","+54.4"
"214","3038","全台","20.35","-0.05","-0.25","119","08/19","+0.5","+0.25","+1.25","+8.6","+10.9","+27.2","+25.9","+53.6","+15","+12.1"
"215","5236","凌陽創新","135.5","+0.5","+0.37","249","08/19","+1.69","-0.82","+2.55","+8.56","+26.8","+15.9","-62.6","-49.6","-46.1","-51.9"
"216","4551","智伸科","161","-2.5","-1.53","876","08/19","-1.53","+2.6","-2.69","+8.5","+30.1","-2.95","+87","+33.3","-18.4","+24.7"
"217","3490","單井","46.8","+2.3","+5.17","11,939","08/19","+9.49","+3.53","+1.29","+8.5","+12.7","-6.04","-13.7","+84","+47.5","+61.6"
"218","2105","正新","31.05","-0.05","-0.16","5,214","08/19","+0.58","-0.23","-0.76","+8.42","+9.5","+9.82","-27.8","+29.4","+255","+63.5"
"219","5871","中租-KY","109.5","0","0","2,897","08/19","-1.21","-5.01","+3.52","+8.35","+6.72","+9.47","-20.6","-28.1","-29.3","-35.3"
"220","009818","華南永昌NASDAQxT","19.84","-0.24","-1.2","56","08/19","+8.33","+8.33","+8.33","+8.33","+8.33","+8.33","+225","","",""
"221","6697","東捷資訊","40.6","0","0","7","08/19","+1.56","+1.56","+10.2","+8.33","+10.2","+8.33","-33.7","+38.3","","+62.5"
"222","7757","金色三麥","89.8","+0.5","+0.56","3","08/19","0","0","0","+8.33","+8.33","0","+550","","",""
"223","2390","云辰","10.1","-0.15","-1.46","336","08/19","+0.9","+2.11","+2.8","+8.33","+13.2","+11.5","-19.7","-7.14","+8.55","+14"
"224","5483","中美晶","176.5","-8.5","-4.59","18,277","08/19","-2.19","-1.6","+0.2","+8.32","+17.8","+15.6","+77.7","+102","+32.8","+66.9"
"225","6184","大豐電","41.85","-0.05","-0.12","62","08/19","+1.26","+1.26","+7.83","+8.31","+3.66","-3.02","-0.21","-15.7","-59.1","-14.2"
