排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
140,2478,大毅,158.0,-15.0,-8.67,07/16,0.0,0.0,0.01,0.02,0.17,0.17,0.14,0.17,0.17,0.17,0.18,0.17
141,2884,玉山金,34.9,0.45,1.31,07/16,0.0,0.0,0.01,0.02,0.06,0.7,-0.53,-0.79,2.83,4.67,4.93,-0.41
142,6788,華景電,384.0,-7.0,-1.79,07/16,0.0,-0.01,0.0,0.01,0.03,-0.28,0.37,-0.2,0.51,-0.16,,-0.09
143,4919,新唐,156.5,-12.0,-7.12,07/16,0.0,-0.01,0.0,0.01,-0.67,-1.04,0.5,0.53,0.5,-2.75,-1.91,0.53
144,2501,國建,22.9,0.45,2.0,07/16,0.0,0.01,0.01,0.01,0.05,0.1,0.03,-0.12,0.08,0.08,0.09,-0.13
145,2845,遠東銀,13.55,0.1,0.74,07/16,0.01,0.01,0.01,0.01,0.12,1.8,1.95,1.95,1.91,0.54,1.82,1.95
146,1409,新纖,26.0,0.1,0.39,07/16,0.0,0.0,0.01,0.01,0.13,0.14,0.13,0.17,0.17,0.19,0.19,0.17
147,2330,台積電,2470.0,30.0,1.23,07/16,0.0,0.0,0.01,0.01,0.02,0.02,0.28,0.37,0.45,0.73,1.01,0.41
148,9914,美利達,84.2,7.6,9.92,07/16,0.0,0.0,0.01,0.01,0.06,0.11,0.11,0.11,0.07,0.05,-0.08,0.08
149,3596,智易,189.0,-2.0,-1.05,07/16,0.0,0.0,0.0,0.01,0.04,2.38,2.49,2.07,1.62,-3.81,-2.38,2.09
150,4749,新應材,860.0,-6.0,-0.69,07/16,0.0,0.01,0.01,0.01,-0.26,-0.71,-1.75,-3.47,-1.79,,,-2.19
151,2412,中華電,136.0,3.0,2.26,07/16,0.0,-0.01,0.0,0.01,0.21,0.42,0.9,0.91,0.82,1.94,2.09,0.9
152,2897,王道銀行,10.55,0.05,0.48,07/16,0.0,0.0,0.0,0.01,0.05,0.09,0.01,0.01,-0.03,0.08,,0.01
153,2530,華建,19.4,0.25,1.31,07/16,0.0,0.0,0.0,0.01,0.09,0.2,0.11,0.03,0.35,0.35,0.35,0.34
